Paper,Problem,Solution,Contribution,Limitation,Research Gap,TriNetra Opportunity
[2018] Blockchain for Fraud Prevention: A Work-History Fraud Prevention System,"However, verification of applicant's past work experience is both time consuming and costly.",Provides theoretical and empirical insights on Blockchain for Fraud Prevention: A Work-History Fraud Prevention System.,Provides theoretical and empirical insights on Blockchain for Fraud Prevention: A Work-History Fraud Prevention System.,"however, verification of applicant's past work experience is both time consuming and costly.","Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
[2021] The effects of good governance and fraud prevention on performance of the zakat institutions in Indonesia: a Sharīʿah forensic accounting perspective,Purpose This study aims to investigate the direct and indirect effects of good governance and fraud prevention on the performance of Zakat institutions.,This study aims to investigate the direct and indirect effects of good governance and fraud prevention on the performance of Zakat institutions.,This study aims to investigate the direct and indirect effects of good governance and fraud prevention on the performance of Zakat institutions.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
[2022] Human-in-the-loop machine learning: a state of the art,nan,this paper we review the state of the art of the techniques involved in the new forms of relationship between humans and ML algorithms.,this paper we review the state of the art of the techniques involved in the new forms of relationship between humans and ML algorithms.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra bridges this gap via proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.
[2022] Toward Involving End-users in Interactive Human-in-the-loop AI Fairness,nan,Provides theoretical and empirical insights on Toward Involving End-users in Interactive Human-in-the-loop AI Fairness.,Provides theoretical and empirical insights on Toward Involving End-users in Interactive Human-in-the-loop AI Fairness.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra bridges this gap via proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.
[2017] Social Collaborative Viewpoint Regression with Explainable Recommendations,nan,Provides theoretical and empirical insights on Social Collaborative Viewpoint Regression with Explainable Recommendations.,Provides theoretical and empirical insights on Social Collaborative Viewpoint Regression with Explainable Recommendations.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra bridges this gap via proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.
[2019] A survey of methods for explaining black box models,This lack of explanation constitutes both a practical and an ethical issue.,Provides theoretical and empirical insights on A survey of methods for explaining black box models.,Provides theoretical and empirical insights on A survey of methods for explaining black box models.,"Relies on self-reported consumer survey data, which is susceptible to response bias and lacks real-time transaction verification.","Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2024] The impact of AI errors in a human-in-the-loop process,"However, the scientific literature on human-in-the-loop performance is not conclusive about the benefits and risks of such human presence, nor does it clarify which aspects of this human-computer interaction may influence the final decision.","results show that human judgment is affected when participants receive incorrect algorithmic support, particularly when they receive it before providing their own judgment, resulting in reduced accuracy.","results show that human judgment is affected when participants receive incorrect algorithmic support, particularly when they receive it before providing their own judgment, resulting in reduced accuracy.","however, the scientific literature on human-in-the-loop performance is not conclusive about the benefits and risks of such human presence, nor does it clarify which aspects of this human-computer interaction may influence the final decision.","Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2016] Online retail returns management,"Purpose – With the rapid growth of consumer sales being fulfilled through omni-channel retailing, the purpose of this paper is to explore the subsequent impact on the levels of consumer retail returns experienced through online sales and the emergent returns management strategies being affected by retailers in relation to network configuration and returns management processes.",this paper is to explore the subsequent impact on the levels of consumer retail returns experienced through online sales and the emergent returns management strategies being affected by retailers in relation to network configuration and returns management processes.,this paper is to explore the subsequent impact on the levels of consumer retail returns experienced through online sales and the emergent returns management strategies being affected by retailers in relation to network configuration and returns management processes.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[2021] On packaging and product returns in online retail—Mailing boxes or sending signals?,"However, marketing and order fulfillment processes are temporally decoupled in remote purchase situations such as online retail. This study focuses on the packaging aspect of the order fulfillment process to explore how it may influence return incidents in online retail.",This study focuses on the packaging aspect of the order fulfillment process to explore how it may influence return incidents in online retail.,This study focuses on the packaging aspect of the order fulfillment process to explore how it may influence return incidents in online retail.,"however, marketing and order fulfillment processes are temporally decoupled in remote purchase situations such as online retail.","Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[2022] Trust in blockchain-enabled exchanges: Future directions in blockchain marketing,Abstract Prior research typically positions blockchain technology as enabling a trustless exchange environment without specifically investigating how blockchain technology provides trust and what makes the data in a blockchain “tamperproof” and “immutable.” This article serves to address these research gaps by conducting semi-structured interviews with 18 informants who have had at least three years of project experience with blockchain-enabled exchanges.,Provides theoretical and empirical insights on Trust in blockchain-enabled exchanges: Future directions in blockchain marketing.,Provides theoretical and empirical insights on Trust in blockchain-enabled exchanges: Future directions in blockchain marketing.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
"[2024] Human-in-the-Loop AI Reviewing: Feasibility, Opportunities, and Risks",nan,"Provides theoretical and empirical insights on Human-in-the-Loop AI Reviewing: Feasibility, Opportunities, and Risks.","Provides theoretical and empirical insights on Human-in-the-Loop AI Reviewing: Feasibility, Opportunities, and Risks.",Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2018] Post-purchase shipping and customer service experiences in online shopping and their impact on customer satisfaction,"However, one limitation of the study is that the data collected represents a cross-sectional sample; future research should examine longitudinal sample to study customers’ purchase intentions over time.",Provides theoretical and empirical insights on Post-purchase shipping and customer service experiences in online shopping and t.,Provides theoretical and empirical insights on Post-purchase shipping and customer service experiences in online shopping and t.,limitations/implications this research extended the current literature about post-purchase logistic services in an online shopping environment with a literature-based research model and good empirical data support.,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[2016] From science to action: Principles for undertaking environmental research that enables knowledge exchange and evidence-based decision-making,nan,Provides theoretical and empirical insights on From science to action: Principles for undertaking environmental research that e.,Provides theoretical and empirical insights on From science to action: Principles for undertaking environmental research that e.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2017] What Does Explainable AI Really Mean? A New Conceptualization of Perspectives,"The paper is motivated by a corpus analysis of NIPS, ACL, COGSCI, and ICCV/ECCV paper titles showing differences in how work on explainable AI is positioned in various fields.",Provides theoretical and empirical insights on What Does Explainable AI Really Mean? A New Conceptualization of Perspectives.,Provides theoretical and empirical insights on What Does Explainable AI Really Mean? A New Conceptualization of Perspectives.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,Proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.,TriNetra bridges this gap via proposes generic explainability without tailoring explanations for multi-stakeholder e-commerce dispute resolution.
[2014] Expectations of Returns and Expected Returns,"However, investor expectations are strongly negatively correlated with model-based expected returns.",Provides theoretical and empirical insights on Expectations of Returns and Expected Returns.,Provides theoretical and empirical insights on Expectations of Returns and Expected Returns.,"however, investor expectations are strongly negatively correlated with model-based expected returns.","Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[2001] The Impact of E-Commerce Announcements on the Market Value of Firms,"However, empirical support for the benefits to firms from e-commerce is weaker than glowing accounts in the popular press, based on anecdotal evidence, would lead us to believe. This paper presents the first empirical test of the dot com effect, validating popular anticipations of significant future benefits to firms entering into e-commerce arrangements.","this paper, we explore the following questions: What are the returns to shareholders in firms engaging in e-commerce?","this paper, we explore the following questions: What are the returns to shareholders in firms engaging in e-commerce?","however, empirical support for the benefits to firms from e-commerce is weaker than glowing accounts in the popular press, based on anecdotal evidence, would lead us to believe.","Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[1984] The Capital Structure Puzzle,"However, there must be costs, and therefore lags, in adjusting to the optimum. However, since the equilibrium only determines aggregates, debt policy should not matter for any single taxpaying firm. However, any firm paying a lower rate would see a net loss to corporate borrowing and a net gain to lending. However, recent work based on information gives predictions in line with the pecking order The is based on a paper by and although I will down that paper's to the firm has to in order to some valuable investment be this net value and be what the firm will be if the opportunity is The firm's what and are, but investors in capital markets do they see only a of values The information is as from the information capital markets are and MM's Proposition I in the sense that the stock of debt to assets is if information to investors is constant. The to by a security issue is the of the firm's investment There is also a the firm may have to sell the securities for less than they are really the firm issues stock with an aggregate market when of will consider debt issues in a However, the the are really That is, is what the new will be other things equal, when investors the special and I managers might in this The one we think makes the most sense is the or value of the firm's That is, the about the value of the in the firm. However, there are cases in which the value of is always less for debt than for For example, if the firm can issue debt, is and the firm never a valuable investment Thus, the to issue debt is as good as cash in the if default risk is the value of will be less for debt than for equity if we make the of Thus, if the has information it is to issue debt than This assumes that new or debt would be if the managers' information is so that any security issue would be In this the firm want to make as large as to take advantage of new If stock would seem than debt The rule seems to debt when investors the and equity, or some other when they The trouble with this strategy is you in investors' If you know the firm will issue equity only when it is and debt you will to equity unless the firm has its is, unless the firm has so much debt that it would face costs in issuing Thus investors would the firm to follow a pecking this is too The model just would need of out before it could actual behavior. I have it just to how models based on information can predict the two of the pecking order the for internal the for debt over equity if external financing is I will now what we know about financing behavior and try to make sense of this in of the two I with about financing behavior, and then a few from evidence or personal Of even based on good statistics have been to away under so with external investment are by debt issues and internally-generated stock issues a relatively as has this is what many managers they are to This is what the pecking order hypothesis in the first However, it might also be explained in a static tradeoff theory by adding significant costs of equity issues and the tax of capital gains to This would make external equity relatively It would explain why companies target dividend low enough to avoid having to make stock It would also explain why a firm whose debt ratio target not immediately issue back debt, and a more debt-to-value ratio.","This paper's title is intended to remind you of Fischer Black's well-known note on “The Dividend Puzzle,” which he closed by saying, “What should the corporation do about dividend policy?","This paper's title is intended to remind you of Fischer Black's well-known note on “The Dividend Puzzle,” which he closed by saying, “What should the corporation do about dividend policy?","however, there must be costs, and therefore lags, in adjusting to the optimum.","Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[2008] Does Asymmetric Information Drive Capital Structure Decisions?,nan,Provides theoretical and empirical insights on Does Asymmetric Information Drive Capital Structure Decisions?.,Provides theoretical and empirical insights on Does Asymmetric Information Drive Capital Structure Decisions?.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[2019] Fraud Detection using Machine Learning in e-Commerce,nan,Provides theoretical and empirical insights on Fraud Detection using Machine Learning in e-Commerce.,Provides theoretical and empirical insights on Fraud Detection using Machine Learning in e-Commerce.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2013] Detection Fraud of Financial Statement with Fraud Triangle,This study aims to obtain empirical evidence to detect fraudulent financial statements based on the perspective of fraud triangle.,This study aims to obtain empirical evidence to detect fraudulent financial statements based on the perspective of fraud triangle.,This study aims to obtain empirical evidence to detect fraudulent financial statements based on the perspective of fraud triangle.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Focuses on isolated fraud detection without integrating multi-stakeholder evidence (customer photos, courier tracking, warehouse scans) into an explainable case timeline.","TriNetra bridges this gap via replacing isolated fraud detection without integrating multi-stakeholder evidence (customer photos, courier tracking, warehouse scans) into an explainable case timeline."
[2004] A Comparison of Online Trust Building Factors between Potential Customers and Repeat Customers,Lack of trust is identified as one of the greatest barriers inhibiting Internet transactions.,Provides theoretical and empirical insights on A Comparison of Online Trust Building Factors between Potential Customers and Re.,Provides theoretical and empirical insights on A Comparison of Online Trust Building Factors between Potential Customers and Re.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
[2006] Accountants' perceptions regarding fraud detection and prevention methods,"However, discovery sampling, data mining, forensic accountants, and digital analysis software are not often used, despite receiving high ratings of effectiveness. The lack of use of these highly effective methods may be driven by lack of firm resources.","this study is to examine the extent to which accountants, internal auditors, and certified fraud examiners use fraud prevention and detection methods, and their perceptions regarding the effectiveness of these methods.","this study is to examine the extent to which accountants, internal auditors, and certified fraud examiners use fraud prevention and detection methods, and their perceptions regarding the effectiveness of these methods.","however, discovery sampling, data mining, forensic accountants, and digital analysis software are not often used, despite receiving high ratings of effectiveness.","Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2023] VAT fraud and reverse charge: empirical evidence from VAT return data,"Abstract In order to stop Value-Added Tax (VAT) fraud, EU member states use the so-called reverse-charge (RC) mechanism, which effectively removes VAT withholding and refunding in business-to-business transactions.",Provides theoretical and empirical insights on VAT fraud and reverse charge: empirical evidence from VAT return data.,Provides theoretical and empirical insights on VAT fraud and reverse charge: empirical evidence from VAT return data.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Focuses on isolated fraud detection without integrating multi-stakeholder evidence (customer photos, courier tracking, warehouse scans) into an explainable case timeline.","TriNetra bridges this gap via replacing isolated fraud detection without integrating multi-stakeholder evidence (customer photos, courier tracking, warehouse scans) into an explainable case timeline."
"[2021] Responding to Activist Short Sellers: Allegations, Firm Responses, and Outcomes",nan,This study provides descriptive evidence on how firms respond to activist short seller reports and how these responses are associated with outcomes for the targeted firms.,This study provides descriptive evidence on how firms respond to activist short seller reports and how these responses are associated with outcomes for the targeted firms.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[2001] E‐business e‐commerce evolution: perspective and strategy,nan,Provides theoretical and empirical insights on E‐business e‐commerce evolution: perspective and strategy.,Provides theoretical and empirical insights on E‐business e‐commerce evolution: perspective and strategy.,"Relies on self-reported consumer survey data, which is susceptible to response bias and lacks real-time transaction verification.","Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
"[1999] Presidential Address: Expected Return, Realized Return, and Asset Pricing Tests","ONE OF THE FUNDAMENTAL ISSUES in finance is what the factors are that affect expected return on assets, the sensitivity of expected return to those factors, and the reward for bearing this sensitivity.There is a long history of testing in this area, and it is clearly one of the most investigated areas in finance.Almost all of the testing I am aware of involves using realized returns as a proxy for expected returns.The use of average realized returns as a proxy for expected returns relies on a belief that information surprises tend to cancel out over the period of a study and realized returns are therefore an unbiased estimate of expected returns.However, I believe that there is ample evidence that this belief is misplaced.There are periods longer than 10 years during which stock market realized returns are on average less than the risk-free rate ~1973 to 1984!.There are periods longer than 50 years in which risky long-term bonds on average underperform the risk free rate ~1927 to 1981!. 1 Having a risky asset with an expected return above the riskless rate is an extremely weak condition for realized returns to be an appropriate proxy for expected returns, and 11 and 50 years is an awfully long time for such a weak condition not to be satisfied.In the recent past, the United States has had stock market returns of higher than 30 percent per year while Asian markets have had negative returns.Does anyone honestly believe that this is because this was the riskiest period in history for the United States and the safest for Asia?Furthermore, there is a large body of evidence we find anomalous.This includes the effect of inf lation on asset pricing and the failure of the generalized expectation theory to explain term premiums.Changing risk premiums and conditional asset pricing theories may be a way of ""explaining"" some of the anomalous results; however, this does not explain returns on risky assets that are less than the riskless rate for the long periods when it has occurred.It seems to me that the more logical explanation for these anomalous results is that realized returns are a very poor measure of expected returns and that information surprises highly inf luence a number of factors in our","Provides theoretical and empirical insights on Presidential Address: Expected Return, Realized Return, and Asset Pricing Tests.","Provides theoretical and empirical insights on Presidential Address: Expected Return, Realized Return, and Asset Pricing Tests.","however, i believe that there is ample evidence that this belief is misplaced.","Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[1989] Functional Restoration with Behavioral Support,Patients with chronic disabling low-back pain have poor prospects of returning to work.,Provides theoretical and empirical insights on Functional Restoration with Behavioral Support.,Provides theoretical and empirical insights on Functional Restoration with Behavioral Support.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[2021] PRISMA 2020 explanation and elaboration: updated guidance and exemplars for reporting systematic reviews,nan,Provides theoretical and empirical insights on PRISMA 2020 explanation and elaboration: updated guidance and exemplars for repo.,Provides theoretical and empirical insights on PRISMA 2020 explanation and elaboration: updated guidance and exemplars for repo.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2010] The Value of School Facility Investments: Evidence from a Dynamic Regression Discontinuity Design<sup>*</sup>,"Despite extensive public infrastructure spending, surprisingly little is known about its economic return.","this paper, we estimate the value of school facility investments using housing markets: standard models of local public goods imply that school districts should spend up to the point where marginal increases would have zero effect on local housing prices.","this paper, we estimate the value of school facility investments using housing markets: standard models of local public goods imply that school districts should spend up to the point where marginal increases would have zero effect on local housing prices.",Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[2012] Online experiences and virtual goods purchase intention,"Originality/value With the proliferation of online social gaming, there is growing evidence for virtual goods consumption; however, relatively few studies have discussed this phenomenon.",this paper is to examine the effects of interactive and social features on users' online experiences and their purchase intention of virtual goods from a social network site.,this paper is to examine the effects of interactive and social features on users' online experiences and their purchase intention of virtual goods from a social network site.,"however, relatively few studies have discussed this phenomenon.","Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[2024] E-Commerce Promotional Products Selection Using SWARA and TOPSIS,"However, the current promotional product selection process is not effective enough, and there are no criteria to use as a reference for selection.",Provides theoretical and empirical insights on E-Commerce Promotional Products Selection Using SWARA and TOPSIS.,Provides theoretical and empirical insights on E-Commerce Promotional Products Selection Using SWARA and TOPSIS.,"however, the current promotional product selection process is not effective enough, and there are no criteria to use as a reference for selection.","Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
"[2023] The Effects of Trust, Perceived Risk, Innovativeness, and Deal Proneness on Consumers’ Purchasing Behavior in the Livestreaming Social Commerce Context",nan,"contributes to the social commerce literature by extending the Technology Acceptance Model 3 (TAM 3) to the novel domain of the livestreaming social commerce context, offering insights into the unique drivers of consumers’ purchasing behavior.","contributes to the social commerce literature by extending the Technology Acceptance Model 3 (TAM 3) to the novel domain of the livestreaming social commerce context, offering insights into the unique drivers of consumers’ purchasing behavior.","Static framework lacking real-time evidence orchestration, automated cross-verification, and dynamic multi-stakeholder trust scoring.","Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
[2023] E-commerce Evolution in Asia and the Pacific,nan,Provides theoretical and empirical insights on E-commerce Evolution in Asia and the Pacific.,Provides theoretical and empirical insights on E-commerce Evolution in Asia and the Pacific.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
"[2011] Perceived Risk, Anticipated Regret and Post-purchase Experience in the Real Estate Market: The Case of China",nan,"this paper aims to gain more insight into housing experiences from customers’ perspectives, exploring the determinants of anticipated regret and its effect on post-purchase experience.","this paper aims to gain more insight into housing experiences from customers’ perspectives, exploring the determinants of anticipated regret and its effect on post-purchase experience.",Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2007] Return merchandize authorization stakeholders and customer requirements management—high-technology products,nan,This paper describes a methodology to identify the different types of stakeholders in the high-technology product market and manage their requirements.,This paper describes a methodology to identify the different types of stakeholders in the high-technology product market and manage their requirements.,Limited to single-firm or regional case study data; generalizability across diverse e-commerce marketplaces remains unverified.,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2020] Whether a retailer should enter an e‐commerce platform taking into account consumer returns,nan,We present conditions for the retailer to share information.,We present conditions for the retailer to share information.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[2014] The role of physical distribution services as determinants of product returns in Internet retailing,nan,results show that orders in which items are sold when these conditions are revealed to shoppers have a higher likelihood of being returned than orders in which these conditions are not revealed.,results show that orders in which items are sold when these conditions are revealed to shoppers have a higher likelihood of being returned than orders in which these conditions are not revealed.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[2024] Virtual Wardrobe: Enhancing Consumer Engagement through Augmented Reality,"This study examines the significant impact of augmented reality on the retail and e-commerce sectors, focusing specifically on the development and use of the Virtual Wardrobe application.","This study examines the significant impact of augmented reality on the retail and e-commerce sectors, focusing specifically on the development and use of the Virtual Wardrobe application.","This study examines the significant impact of augmented reality on the retail and e-commerce sectors, focusing specifically on the development and use of the Virtual Wardrobe application.",Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[2024] Consumer Perception of Post-Purchase Experience on Electric Vehicle Owners in Chennai City,"This study explored the consumer perception of the post-purchase experience among electric vehicle owners.With the increasing popularity of electric vehicles in India, it is crucial to understand how consumers perceive various aspects of their purchase and ownership journey.The research focused on critical factors such as purchase price, charging features, maintenance costs, battery life and durability, performance and safety features, warranty, and after-sales service.An extensive review of literature from various authors in recent years found that consumers consider these factors when purchasing an electric vehicle.Studies have shown that purchase price plays a significant role in influencing consumer behavior toward electric vehicles.charging features like the availability and accessibility of charging features are crucial for enhancing convenience and reducing range anxiety.Maintenance costs have also been identified as an essential consideration for potential buyers as they evaluate long-term affordability.Battery life and durability are critical factors affecting overall satisfaction with electric vehicles since batteries contribute significantly to their cost effectiveness.Performance and safety features were significant determinants of consumer perception regarding reliability and driving experience.Warranty coverage reassures customers concerned about unforeseen technical issues or defects over time.After-sales service emerged as another essential aspect impacting customer satisfaction levels.Timely assistance from manufacturers during servicing or repairs can significantly influence the overall ownership experience.Based on our findings, we recommended several suggestions for stakeholders in the electric vehicle sector.",This study explored the consumer perception of the post-purchase experience among electric vehicle owners.,This study explored the consumer perception of the post-purchase experience among electric vehicle owners.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2000] Multiple roles of consumption emotions in post‐purchase satisfaction with extended service transactions,nan,this paper is on the emotional experience of consumption and its impact on satisfaction in the context of extended service transactions.,this paper is on the emotional experience of consumption and its impact on satisfaction in the context of extended service transactions.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2001] Paradoxes of Public Sector Customer Service,This paper presents a series of paradoxes related to customer service and its use in government.,This paper presents a series of paradoxes related to customer service and its use in government.,This paper presents a series of paradoxes related to customer service and its use in government.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
"[1999] The Different Roles of Satisfaction, Trust, and Commitment in Customer Relationships",nan,"Provides theoretical and empirical insights on The Different Roles of Satisfaction, Trust, and Commitment in Customer Relations.","Provides theoretical and empirical insights on The Different Roles of Satisfaction, Trust, and Commitment in Customer Relations.",Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
"[2004] Comfort your online customer: quality, trust and loyalty on the internet",nan,"Provides theoretical and empirical insights on Comfort your online customer: quality, trust and loyalty on the internet.","Provides theoretical and empirical insights on Comfort your online customer: quality, trust and loyalty on the internet.",Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
